TileId,x,y,grid_row,grid_col,person_count
1370,2650,8504.607082,35,11,87
1371,2982.578313,8673.058601,35,12,57
1372,3250,8550,35,14,40
1373,3300,8550,35,14,49
1374,3650,8550,35,15,50
1375,4000,8550,35,17,39
1376,4200,8550,35,17,32
1377,4500,8550,35,19,31
1378,4750,8550,35,20,23
1379,5000,8540.35562,35,21,25
1380,5250,8550,35,22,18
1381,5350,8550,35,22,19
1382,5750,8550,35,24,22
1383,5950,8550,35,24,24
1384,6250,8550,35,26,25
1385,6450,8550,35,26,25
1386,6700,8550,35,27,21
1387,6950,8550,35,28,17
1388,7250,8600,35,30,12
1389,7442.385214,8562.666374,35,30,19
1390,7570.890613,8618.544907,35,31,26
1391,7950,8504.805722,35,32,35
1392,8100,8750,36,33,33
1393,8450,8523.503888,35,34,22
1394,8523.503888,8550,35,35,14
1395,8800,8750,36,36,7
1396,9050,8550,35,37,7
1397,9450,8550,35,38,18
1398,9650,8550,35,39,17
1402,750,8800,36,4,19
1403,1000,8950,36,5,17
1404,1161.254804,8908.963017,36,5,16
1405,1500,8800,36,7,15
1406,1550,8800,36,7,9
1407,1940.199936,8938.723662,36,8,9
1409,2251.953551,8996.052756,36,10,6
1410,2750,8800,36,12,10
1411,2850,8754.950449,36,12,14
1412,3004.950449,8850,36,13,21
1413,3450,8993.508452,36,14,7
1414,3506.491548,8800,36,15,4
1415,3756.491548,8850,36,16,5
1416,4006.491548,8900,36,17,4
1417,4256.491548,8900,36,18,4
1418,4506.491548,8900,36,19,3
1429,7333.798923,8848.770767,36,30,8
1430,7750,8850,36,32,11
1431,8000,8850,36,33,34
1432,8029.146668,8832.74883,36,33,27
1433,8350,8800,36,34,7
1434,8650,9000,37,35,5
1435,8850,8800,36,36,7
1436,9150,8800,36,37,5
1437,9500,8850,36,39,13
1438,9550,8800,36,39,13
1439,9800,9000,37,40,1
1443,850,9050,37,4,17
1444,1071.895704,9246.514847,37,5,16
1445,1350,9050,37,6,8
1446,1650,9050,37,7,5
1447,1800,9050,37,8,10
1451,3000,9004.950449,37,13,2
1452,3035.395814,9119.464471,37,13,12
1453,3493.508452,9050,37,14,6
1454,3743.508452,9050,37,15,2
1455,4000,9093.508452,37,17,2
1456,4243.508452,9150,37,17,2
1457,4500,9243.508452,37,19,2
1458,4700,9006.491548,37,19,2
1459,4756.491548,9050,37,20,2
1471,7900,9004.949264,37,32,4
1472,8150,9004.805722,37,33,3
1473,8450,9050,37,34,13
1474,8550,9050,37,35,9
1475,9000,9150,37,37,5
1476,9250,9050,37,38,10
1477,9300,9050,37,38,17
1478,9550,9250,38,39,9
1479,9800,9150,37,40,2
1484,1100,9300,38,5,12
1497,4500,9343.508452,38,19,2
1498,4750,9393.508452,38,20,2
1499,4993.508452,9400,38,20,3
1500,5200.923072,9474.329259,38,21,3
1513,8500,9300,38,35,5
1514,8550,9254.805722,38,35,4
1516,9250,9300,38,38,4
1517,9350,9300,38,38,8
1518,9550,9350,38,39,3
